namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc1_13_votersreg	vuc1_13_votersvalid	vuc1_13_nevolici	vuc1_13_other	vuc1_13_kotleba	vuc1_13_manka	vuc1_13_kanik	eu_14_votersreg	eu_14_votersvalid	eu_14_nevolici	eu_14_other	eu_14_nova	eu_14_kdh	eu_14_smer	eu_14_most	eu_14_ol	eu_14_sas	eu_14_sdku	eu_14_smk		
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511226	Ábelová	1	162	65	97	16	17	30	2	160	18	144	8	0	0	10	0	0	0	0	0		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	557757	Abovce	1	486	158	329	39	14	90	15	487	54	433	5	0	0	7	9	2	1	2	28		
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518166	Babiná	1	435	108	327	7	11	78	12	430	69	366	17	3	1	36	0	4	2	6	0		
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514489	Babinec	1	60	28	35	2	4	22	0	63	15	48	6	1	0	5	0	0	1	1	1		
Banskobystrickı kraj	602	Brezno	603	Brezno	508446	Bacúch	1	842	159	687	19	53	76	11	846	69	777	22	3	3	31	0	6	2	2	0		
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518174	Bacúrov	1	120	45	75	3	12	23	7	119	25	95	11	2	1	6	0	1	4	0	0		
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516601	Baïan	1	165	66	104	16	14	33	3	170	44	126	17	0	0	22	0	1	1	3	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508454	Badín	1	780	221	564	26	57	89	49	785	132	653	24	18	13	38	1	15	9	14	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508454	Badín	2	771	189	600	29	54	74	32	789	119	670	23	7	23	17	2	25	5	17	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508471	Baláe	1	180	56	127	12	14	21	9	183	36	147	7	5	1	13	0	3	2	5	0		
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515868	Balog nad Ip¾om	1	697	179	518	11	1	115	52	679	221	476	9	0	0	0	14	6	1	2	189		
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516627	Banská Belá	1	983	176	807	50	31	72	23	981	112	871	22	3	17	40	0	15	2	13	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	1	726	179	547	47	17	54	61	644	150	576	27	23	16	20	2	25	17	19	1		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	2	622	191	431	31	25	84	51	609	144	478	23	12	9	41	10	26	4	19	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	3	882	301	581	28	59	156	58	854	180	702	37	10	7	52	7	25	15	27	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	4	615	198	417	34	30	75	59	600	148	467	14	21	21	37	2	22	10	20	1		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	5	943	221	722	26	41	101	53	933	189	754	42	14	16	44	6	31	15	21	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	6	1706	161	1565	20	17	71	53	1726	127	1599	16	12	18	31	4	19	5	21	1		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	7	602	154	448	17	38	69	30	587	113	489	19	15	3	31	6	23	6	10	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	8	546	164	382	17	34	65	48	533	102	444	23	1	5	31	6	22	4	10	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	9	915	290	625	33	70	145	42	880	188	727	33	6	11	70	4	46	7	11	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	10	869	225	644	38	58	85	44	858	128	741	27	8	10	33	3	22	13	12	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	11	988	288	700	51	52	86	99	943	230	758	54	17	25	51	1	37	20	24	1		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	12	718	210	508	26	50	86	48	656	174	544	36	13	16	40	5	27	19	18	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	13	868	237	631	46	63	76	52	864	122	746	30	4	5	27	4	25	7	20	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	14	1060	292	768	38	81	109	64	1054	179	881	35	22	8	37	4	28	15	30	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	15	1004	261	743	46	79	91	45	982	134	870	28	7	10	28	2	21	12	25	1		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	16	695	215	480	28	77	57	53	679	116	579	16	16	9	22	6	18	18	11	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	17	438	124	314	20	22	62	20	425	71	367	15	2	9	20	0	13	6	6	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	18	807	242	565	32	42	122	46	781	131	676	15	4	13	44	2	29	10	14	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	19	849	201	648	22	64	84	31	839	101	748	27	6	8	31	0	14	5	9	1		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	20	363	40	325	8	12	9	11	365	28	337	14	3	3	4	0	1	2	1	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	21	922	313	609	46	57	156	54	893	191	731	28	10	17	68	3	35	14	15	1		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	22	806	230	576	37	45	84	64	778	154	652	31	19	9	40	3	29	10	13	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	23	958	290	670	38	81	120	51	960	185	775	38	5	17	59	7	24	17	18	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	24	303	43	260	8	9	18	8	297	24	279	11	1	4	4	0	1	3	0	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	25	563	90	473	11	33	38	8	561	34	529	11	1	0	9	0	9	2	2	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	26	904	246	658	29	96	95	26	897	106	798	29	8	7	38	3	6	10	5	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	27	1143	303	840	47	70	115	71	323	86	1057	13	4	0	25	0	16	12	16	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	28	820	174	646	20	53	73	28	815	147	673	23	10	11	43	2	26	11	21	0		
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	29	631	121	693	15	25	60	21	814	115	699	26	15	5	28	1	14	15	10	1		
