namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc2_13_votersreg	vuc2_13_votersvalid	vuc2_13_nevolici	vuc2_13_manka	vuc2_13_kotleba	eu_14_votersreg	eu_14_votersvalid	eu_14_nevolici	eu_14_other	eu_14_nova	eu_14_kdh	eu_14_smer	eu_14_most	eu_14_ol	eu_14_sas	eu_14_sdku	eu_14_smk
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511226	Ábelová	1	162	50	112	27	23	160	18	144	8	0	0	10	0	0	0	0	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	557757	Abovce	1	487	147	340	120	27	487	54	433	5	0	0	7	9	2	1	2	28
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518166	Babiná	1	433	126	307	78	48	430	69	364	17	3	1	36	0	4	2	6	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514489	Babinec	1	61	26	37	13	13	63	15	48	6	1	0	5	0	0	1	1	1
Banskobystrickı kraj	602	Brezno	603	Brezno	508446	Bacúch	1	842	216	630	40	176	846	69	777	22	3	3	31	0	6	2	2	0
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518174	Bacúrov	1	120	40	80	18	22	119	25	95	11	2	1	6	0	1	4	0	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516601	Baïan	1	166	62	108	30	32	170	44	126	17	0	0	22	0	1	1	3	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508454	Badín	1	778	217	568	73	144	785	132	653	24	18	13	38	1	15	9	14	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508454	Badín	2	767	208	581	61	147	789	119	670	23	7	23	17	2	25	5	17	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508471	Baláe	1	180	54	129	13	41	183	36	147	7	5	1	13	0	3	2	5	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515868	Balog nad Ip¾om	1	697	113	584	107	6	679	221	476	9	0	0	0	14	6	1	2	189
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516627	Banská Belá	1	980	220	761	104	116	981	112	869	22	3	17	40	0	15	2	13	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	1	723	170	553	76	94	644	150	573	27	23	16	20	2	25	17	19	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	2	622	206	416	112	94	609	144	478	23	12	9	41	10	26	4	19	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	3	883	280	603	148	132	854	180	703	37	10	7	52	7	25	15	27	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	4	615	187	428	89	98	600	148	467	14	21	21	37	2	22	10	20	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	5	945	259	686	124	135	933	189	756	42	14	16	44	6	31	15	21	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	6	1714	172	1554	87	85	1726	127	1599	16	12	18	31	4	19	5	21	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	7	603	161	442	78	83	587	113	490	19	15	3	31	6	23	6	10	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	8	547	171	376	76	95	533	102	445	23	1	5	31	6	22	4	10	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	9	912	297	615	126	171	880	188	724	33	6	11	70	4	46	7	11	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	10	869	241	628	108	133	858	128	741	27	8	10	33	3	22	13	12	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	11	989	283	706	134	149	943	230	759	54	17	25	51	1	37	20	24	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	12	718	203	515	90	113	656	174	544	36	13	16	40	5	27	19	18	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	13	867	250	617	104	146	864	122	745	30	4	5	27	4	25	7	20	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	14	1060	388	672	154	234	1054	179	881	35	22	8	37	4	28	15	30	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	15	1011	327	684	111	216	982	134	877	28	7	10	28	2	21	12	25	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	16	695	242	453	77	165	679	116	579	16	16	9	22	6	18	18	11	0
