namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc1_13_votersreg	vuc1_13_votersvalid	vuc1_13_nevolici	vuc1_13_other	vuc1_13_kotleba	vuc1_13_manka	vuc1_13_kanik	nr_13_votersreg	nr_13_votersvalid	nr_13_nevolici	nr_13_other	nr_13_kdh	nr_13_sns	nr_13_ol	nr_13_sas	nr_13_smer	nr_13_most	nr_13_sdku	nr_13_smk
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511226	Ábelová	1	162	65	115	16	17	30	2	180	92	88	14	4	4	1	2	55	12	0	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	557757	Abovce	1	486	158	328	39	14	90	15	475	298	188	17	6	2	0	3	52	37	1	180
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518166	Babiná	1	435	108	327	7	11	78	12	431	277	158	36	12	22	27	10	153	3	14	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514489	Babinec	1	60	28	38	2	4	22	0	66	42	24	5	6	4	0	1	23	1	2	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508446	Bacúch	1	842	159	683	19	53	76	11	836	489	353	59	28	30	21	9	333	2	7	0
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518174	Bacúrov	1	120	45	78	3	12	23	7	123	82	41	9	10	2	10	2	44	1	4	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516601	Baïan	1	165	66	110	16	14	33	3	176	114	62	16	8	4	5	5	71	3	2	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508454	Badín	1	780	221	569	26	57	89	49	790	498	292	56	35	16	73	49	208	15	46	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508454	Badín	2	771	189	582	29	54	74	32	737	453	318	51	31	19	79	30	188	10	43	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508471	Baláe	1	180	56	125	12	14	21	9	181	121	60	25	6	3	5	8	63	1	10	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515868	Balog nad Ip¾om	1	697	179	518	11	1	115	52	685	483	214	16	1	6	2	2	16	91	7	342
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516627	Banská Belá	1	983	176	808	50	31	72	23	984	539	445	79	54	21	65	18	272	9	21	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	1	726	179	547	47	17	54	61	610	413	313	32	67	7	48	60	105	20	74	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	2	622	191	431	31	25	84	51	571	357	265	33	40	7	20	41	146	20	50	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	3	882	301	581	28	59	156	58	864	556	326	56	69	23	46	56	208	20	77	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	4	615	198	417	34	30	75	59	601	392	223	32	41	14	31	36	139	31	67	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	5	943	221	722	26	41	101	53	934	553	390	56	46	27	62	49	228	27	58	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	6	1706	161	1545	20	17	71	53	1473	348	1358	24	37	10	50	23	136	16	52	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	7	602	154	448	17	38	69	30	595	342	260	38	20	10	43	30	153	9	39	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	8	546	164	388	17	34	65	48	552	359	193	40	28	3	46	21	156	17	48	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	9	915	290	625	33	70	145	42	888	569	346	67	38	14	79	41	251	26	51	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	10	869	225	655	38	58	85	44	880	506	374	55	41	22	54	43	205	25	61	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	11	988	288	700	51	52	86	99	909	610	378	76	68	24	80	70	175	25	92	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	12	718	210	508	26	50	86	48	695	506	212	46	51	13	61	52	198	27	57	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	13	868	237	631	46	63	76	52	848	513	355	72	34	18	63	50	202	15	59	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	14	1060	292	773	38	81	109	64	1065	629	436	59	28	38	78	56	276	28	66	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	15	1004	261	743	46	79	91	45	1002	642	362	92	35	14	98	55	266	23	57	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	16	695	215	480	28	77	57	53	678	425	270	59	23	10	77	49	128	21	58	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	17	438	124	314	20	22	62	20	433	283	155	43	26	7	24	24	136	3	20	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	18	807	242	565	32	42	122	46	799	496	311	57	48	7	62	39	225	16	42	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	19	849	201	648	22	64	84	31	828	509	340	67	38	16	60	54	231	10	33	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	20	363	40	323	8	12	9	11	350	151	212	28	18	3	10	13	75	3	1	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	21	922	313	609	46	57	156	54	904	588	334	69	54	20	69	56	250	12	58	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	22	806	230	580	37	45	84	64	810	530	280	50	58	29	49	53	200	26	65	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	23	958	290	668	38	81	120	51	955	623	335	77	61	14	66	51	265	26	63	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	24	303	43	262	8	9	18	8	305	147	158	15	6	5	18	15	76	3	9	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	25	563	90	473	11	33	38	8	559	242	321	34	8	5	25	13	135	5	17	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	26	904	246	658	29	96	95	26	886	571	333	86	29	25	71	28	297	9	26	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	27	1143	303	840	47	70	115	71	1109	710	433	70	59	24	96	69	270	26	96	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	28	820	174	687	20	53	73	28	861	540	321	83	42	16	50	58	242	15	33	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	29	631	121	510	15	25	60	21	626	272	359	27	19	8	30	23	119	14	32	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	30	589	158	431	18	45	66	29	549	370	219	37	13	6	41	39	180	13	39	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	31	494	191	303	24	29	80	58	483	366	128	36	24	12	44	38	136	11	65	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	32	217	77	140	9	10	48	10	217	158	59	20	8	9	12	13	80	5	11	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	33	805	168	650	14	48	79	27	818	480	338	58	32	13	56	51	205	23	42	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	34	791	211	580	25	59	81	46	791	489	302	67	41	15	62	38	191	9	66	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	35	690	152	538	22	44	62	24	674	385	305	53	24	14	66	30	164	12	22	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	36	975	276	719	45	80	105	46	995	618	377	76	29	34	84	61	266	15	53	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	37	861	211	655	39	43	88	41	866	488	378	48	42	10	66	55	193	17	56	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	38	1150	314	836	27	72	153	62	1131	676	474	68	61	19	88	61	298	20	61	0
