namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc2_13_votersreg	vuc2_13_votersvalid	vuc2_13_nevolici	vuc2_13_manka	vuc2_13_kotleba	nr_13_votersreg	nr_13_votersvalid	nr_13_nevolici	nr_13_other	nr_13_kdh	nr_13_sns	nr_13_ol	nr_13_sas	nr_13_smer	nr_13_most	nr_13_sdku	nr_13_smk
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511226	Ábelová	1	162	50	130	27	23	180	92	88	14	4	4	1	2	55	12	0	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	557757	Abovce	1	487	147	340	120	27	475	298	189	17	6	2	0	3	52	37	1	180
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518166	Babiná	1	433	126	307	78	48	431	277	156	36	12	22	27	10	153	3	14	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514489	Babinec	1	61	26	40	13	13	66	42	24	5	6	4	0	1	23	1	2	0
Banskobystrickı kraj	602	Brezno	603	Brezno	508446	Bacúch	1	842	216	626	40	176	836	489	353	59	28	30	21	9	333	2	7	0
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518174	Bacúrov	1	120	40	83	18	22	123	82	41	9	10	2	10	2	44	1	4	0
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516601	Baïan	1	166	62	114	30	32	176	114	62	16	8	4	5	5	71	3	2	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508454	Badín	1	778	217	573	73	144	790	498	292	56	35	16	73	49	208	15	46	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508454	Badín	2	767	208	559	61	147	737	453	314	51	31	19	79	30	188	10	43	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508471	Baláe	1	180	54	127	13	41	181	121	60	25	6	3	5	8	63	1	10	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515868	Balog nad Ip¾om	1	697	113	584	107	6	685	483	214	16	1	6	2	2	16	91	7	342
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516627	Banská Belá	1	980	220	764	104	116	984	539	445	79	54	21	65	18	272	9	21	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	1	723	170	553	76	94	610	413	310	32	67	7	48	60	105	20	74	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	2	622	206	416	112	94	571	357	265	33	40	7	20	41	146	20	50	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	3	883	280	603	148	132	864	556	327	56	69	23	46	56	208	20	77	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	4	615	187	428	89	98	601	392	223	32	41	14	31	36	139	31	67	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	5	945	259	686	124	135	934	553	392	56	46	27	62	49	228	27	58	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	6	1714	172	1542	87	85	1473	348	1366	24	37	10	50	23	136	16	52	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	7	603	161	442	78	83	595	342	261	38	20	10	43	30	153	9	39	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	8	547	171	381	76	95	552	359	193	40	28	3	46	21	156	17	48	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	9	912	297	615	126	171	888	569	343	67	38	14	79	41	251	26	51	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	10	869	241	639	108	133	880	506	374	55	41	22	54	43	205	25	61	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	11	989	283	706	134	149	909	610	379	76	68	24	80	70	175	25	92	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	12	718	203	515	90	113	695	506	212	46	51	13	61	52	198	27	57	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	13	867	250	617	104	146	848	513	354	72	34	18	63	50	202	15	59	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	14	1060	388	677	154	234	1065	629	436	59	28	38	78	56	276	28	66	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	15	1011	327	684	111	216	1002	642	369	92	35	14	98	55	266	23	57	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	16	695	242	453	77	165	678	425	270	59	23	10	77	49	128	21	58	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	17	437	126	311	63	63	433	283	154	43	26	7	24	24	136	3	20	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	18	809	267	542	150	117	799	496	313	57	48	7	62	39	225	16	42	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	19	851	260	591	84	176	828	509	342	67	38	16	60	54	231	10	33	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	20	364	77	287	21	56	350	151	213	28	18	3	10	13	75	3	1	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	21	923	301	622	168	133	904	588	335	69	54	20	69	56	250	12	58	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	22	804	222	588	103	119	810	530	280	50	58	29	49	53	200	26	65	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	23	958	319	639	145	174	955	623	335	77	61	14	66	51	265	26	63	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	24	301	70	235	26	44	305	147	158	15	6	5	18	15	76	3	9	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	25	564	251	313	142	109	559	242	322	34	8	5	25	13	135	5	17	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	26	904	294	610	104	190	886	571	333	86	29	25	71	28	297	9	26	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	27	1142	317	825	150	167	1109	710	432	70	59	24	96	69	270	26	96	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	28	819	193	668	83	110	861	540	321	83	42	16	50	58	242	15	33	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	29	631	141	490	61	80	626	272	359	27	19	8	30	23	119	14	32	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	30	590	196	394	84	112	549	370	220	37	13	6	41	39	180	13	39	2
