namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc1_13_votersreg	vuc1_13_votersvalid	vuc1_13_nevolici	vuc1_13_other	vuc1_13_kotleba	vuc1_13_manka	vuc1_13_kanik	pr1_14_votersreg	pr1_14_votersvalid	pr1_14_nevolici	pr1_14_other	pr1_14_bardos	pr1_14_fico	pr1_14_kiska	pr1_14_knazko	pr1_14_prochazka
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511226	Ábelová	1	162	65	100	16	17	30	2	165	50	115	8	1	26	11	4	0
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	557757	Abovce	1	486	158	330	39	14	90	15	488	178	310	9	120	19	20	7	3
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518166	Babiná	1	435	108	327	7	11	78	12	408	177	258	21	0	78	29	23	26
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514489	Babinec	1	60	28	39	2	4	22	0	67	43	24	10	1	16	11	3	2
Banskobystrickı kraj	602	Brezno	603	Brezno	508446	Bacúch	1	842	159	683	19	53	76	11	842	263	579	26	0	131	50	16	40
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518174	Bacúrov	1	120	45	78	3	12	23	7	123	79	44	6	0	21	23	9	20
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516601	Baïan	1	165	66	105	16	14	33	3	171	69	102	3	0	39	14	4	9
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508454	Badín	1	780	221	563	26	57	89	49	784	435	349	34	0	105	113	74	109
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508454	Badín	2	771	189	589	29	54	74	32	778	378	400	31	0	75	99	72	101
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508471	Baláe	1	180	56	126	12	14	21	9	182	84	98	5	0	23	23	15	18
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515868	Balog nad Ip¾om	1	697	179	518	11	1	115	52	669	370	327	8	301	6	36	8	11
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516627	Banská Belá	1	983	176	807	50	31	72	23	969	330	653	45	1	108	65	42	69
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	1	726	179	547	47	17	54	61	655	371	355	23	2	40	109	94	103
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	2	622	191	431	31	25	84	51	593	324	298	26	0	74	66	78	80
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	3	882	301	581	28	59	156	58	866	498	384	39	0	105	115	143	96
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	4	615	198	417	34	30	75	59	602	334	281	18	0	58	63	106	89
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	5	943	221	722	26	41	101	53	939	404	539	29	2	100	86	95	92
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	6	1706	161	1545	20	17	71	53	1696	301	1405	24	0	68	76	88	45
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	7	602	154	464	17	38	69	30	618	309	309	19	0	76	77	58	79
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	8	546	164	389	17	34	65	48	553	268	285	17	1	65	49	61	75
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	9	915	290	625	33	70	145	42	888	449	466	30	1	139	76	86	117
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	10	869	225	645	38	58	85	44	870	403	467	24	0	93	112	85	89
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	11	988	288	700	51	52	86	99	957	546	442	29	1	105	125	158	128
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	12	718	210	508	26	50	86	48	684	401	317	31	0	77	100	104	89
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	13	868	237	631	46	63	76	52	864	411	457	27	0	80	102	94	108
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	14	1060	292	772	38	81	109	64	1064	527	537	39	0	117	132	122	117
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	15	1004	261	743	46	79	91	45	978	446	558	22	1	90	102	105	126
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	16	695	215	480	28	77	57	53	675	355	340	20	1	49	73	96	116
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	17	438	124	314	20	22	62	20	437	239	199	23	0	78	49	35	54
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	18	807	242	565	32	42	122	46	780	390	417	30	0	116	80	83	81
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	19	849	201	648	22	64	84	31	833	384	465	45	1	92	87	80	79
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	20	363	40	329	8	12	9	11	369	142	227	14	2	35	34	24	33
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	21	922	313	609	46	57	156	54	896	493	429	31	1	146	92	100	123
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	22	806	230	576	37	45	84	64	781	423	383	30	0	105	121	74	93
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	23	958	290	670	38	81	120	51	960	490	470	40	0	136	100	106	108
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	24	303	43	260	8	9	18	8	291	95	208	7	0	25	26	14	23
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	25	563	90	473	11	33	38	8	558	182	381	14	0	58	44	27	39
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	26	904	246	658	29	96	95	26	897	423	481	42	1	136	76	68	100
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	27	1143	303	840	47	70	115	71	326	204	939	8	0	27	55	70	44
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	28	820	174	650	20	53	73	28	824	435	389	35	0	119	107	82	92
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	29	631	121	725	15	25	60	21	846	375	471	31	0	106	90	75	73
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	30	589	158	465	18	45	66	29	623	230	393	27	1	52	53	51	46
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	31	494	191	411	24	29	80	58	602	325	277	17	0	64	65	84	95
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	32	217	77	404	9	10	48	10	481	303	178	17	0	76	72	62	76
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	33	805	168	637	14	48	79	27	211	133	672	8	0	44	22	24	35
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	34	791	211	580	25	59	81	46	768	307	484	22	1	46	78	93	67
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	35	690	152	630	22	44	62	24	782	337	445	29	2	59	87	84	76
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	36	975	276	699	45	80	105	46	666	286	689	28	0	54	58	72	74
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	37	861	211	726	39	43	88	41	937	460	477	45	0	84	98	98	135
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	38	1150	314	836	27	72	153	62	855	421	729	28	1	99	109	82	102
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	39	1078	268	848	41	54	109	64	1116	538	578	35	1	132	121	113	136
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	40	1151	309	842	46	48	123	92	1052	494	657	40	2	108	112	110	122
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	41	979	224	901	32	39	109	44	1125	588	537	30	1	128	146	140	143
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	42	906	223	743	30	49	93	51	966	436	530	42	1	94	114	86	99
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	43	977	273	704	35	63	126	49	884	398	579	22	0	86	95	100	95
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	44	1058	290	768	31	47	128	84	952	431	627	23	0	138	80	87	103
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	45	898	252	778	36	50	116	50	1030	473	557	43	0	126	110	85	109
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	46	841	231	671	22	34	126	49	902	460	442	31	2	107	118	103	99
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	47	802	199	604	24	50	94	31	803	393	410	23	0	129	96	69	76
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	48	989	238	751	32	60	106	40	774	373	616	30	0	85	89	95	74
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	49	941	236	720	31	52	116	37	956	480	476	29	1	137	90	100	123
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	50	998	203	795	24	41	101	37	921	414	584	40	0	108	94	74	98
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	51	1108	358	750	54	56	184	64	943	390	718	38	0	120	71	72	89
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	52	664	149	942	24	25	75	25	1091	609	482	35	0	183	116	154	121
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	53	1022	254	768	31	72	94	57	666	280	742	15	0	94	63	58	50
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	54	1038	330	708	35	62	171	62	970	424	614	35	0	113	93	103	80
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	55	1002	292	727	48	63	123	58	1019	520	499	36	0	163	88	120	113
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	56	788	207	763	16	50	96	45	970	495	475	43	0	117	105	127	103
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	57	745	187	578	20	36	88	43	765	388	377	33	1	100	80	79	95
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	58	621	150	593	19	43	56	32	743	356	387	25	0	105	85	74	67
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	59	723	222	501	25	81	74	42	619	302	421	23	0	70	75	72	62
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	60	755	183	572	26	49	60	48	712	376	379	29	1	116	69	84	77
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	61	776	199	577	30	36	80	53	749	299	477	19	0	69	74	78	59
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	62	763	177	586	31	28	82	36	761	351	412	20	1	95	71	84	80
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	63	751	139	612	23	50	38	28	738	286	465	23	0	70	69	51	73
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	64	955	239	716	30	73	95	41	730	297	658	24	1	55	59	90	68
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	65	986	199	787	16	58	80	45	930	475	511	30	0	85	104	121	135
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	66	666	134	829	18	43	53	20	963	389	574	38	2	65	91	79	114
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	67	940	176	764	24	61	63	28	636	275	665	17	0	56	60	60	82
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	68	1065	243	822	35	93	82	33	919	341	724	33	0	60	89	72	87
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	69	922	248	777	28	66	108	46	1025	432	593	34	0	69	128	78	123
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	70	1048	217	831	42	69	64	42	879	347	701	24	1	81	95	59	87
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	71	881	191	823	25	51	67	48	1014	472	542	35	0	62	137	115	123
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	72	799	192	658	32	58	65	37	850	375	475	28	2	59	92	81	113
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	73	820	151	669	25	43	49	34	776	357	463	25	0	68	105	58	101
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	74	987	232	755	49	73	77	33	799	298	689	26	1	51	78	58	84
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	75	1064	231	833	32	78	78	43	969	418	646	32	0	56	111	82	137
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	76	887	194	821	37	63	71	23	1015	429	586	50	0	71	94	90	124
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	77	1058	207	851	22	70	70	45	853	360	698	28	1	33	84	83	131
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	78	945	215	810	22	70	68	55	1025	444	581	32	0	72	99	86	155
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	79	691	150	765	20	61	34	35	915	392	523	36	1	34	91	105	125
