namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc2_13_votersreg	vuc2_13_votersvalid	vuc2_13_nevolici	vuc2_13_manka	vuc2_13_kotleba	pr2_14_votersreg	pr2_14_votersvalid	pr2_14_nevolici	pr2_14_fico	pr2_14_kiska
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511226	Ábelová	1	162	50	121	27	23	171	62	109	38	24
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	557757	Abovce	1	487	147	344	120	27	491	165	326	35	130
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518166	Babiná	1	433	126	307	78	48	413	219	214	138	81
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514489	Babinec	1	61	26	43	13	13	69	46	23	31	15
Banskobystrickı kraj	602	Brezno	603	Brezno	508446	Bacúch	1	842	216	626	40	176	837	361	481	233	128
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518174	Bacúrov	1	120	40	82	18	22	122	78	44	30	48
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516601	Baïan	1	166	62	110	30	32	172	94	78	59	35
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508454	Badín	1	778	217	561	73	144	772	443	335	148	295
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508454	Badín	2	767	208	581	61	147	789	444	345	154	290
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508471	Baláe	1	180	54	126	13	41	178	103	77	50	53
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515868	Balog nad Ip¾om	1	697	113	584	107	6	668	329	368	14	315
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516627	Banská Belá	1	980	220	760	104	116	965	421	559	199	222
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	1	723	170	553	76	94	670	413	310	85	328
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	2	622	206	416	112	94	593	333	289	125	208
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	3	883	280	603	148	132	864	527	356	164	363
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	4	615	187	428	89	98	609	369	246	99	270
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	5	945	259	701	124	135	960	489	471	184	305
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	6	1714	172	1542	87	85	1670	331	1383	122	209
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	7	603	161	460	78	83	621	361	260	137	224
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	8	547	171	376	76	95	526	298	249	119	179
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	9	912	297	615	126	171	870	508	404	213	295
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	10	869	241	628	108	133	868	454	415	157	297
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	11	989	283	706	134	149	949	606	383	181	425
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	12	718	203	523	90	113	726	483	243	152	331
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	13	867	250	621	104	146	871	479	392	159	320
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	14	1060	388	672	154	234	1059	563	497	217	346
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	15	1011	327	684	111	216	956	502	509	170	332
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	16	695	242	453	77	165	667	383	312	96	287
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	17	437	126	313	63	63	439	259	180	117	142
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	18	809	267	542	150	117	757	457	352	203	254
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	19	851	260	591	84	176	836	459	392	187	272
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	20	364	77	292	21	56	369	155	214	69	86
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	21	923	301	622	168	133	895	512	411	226	286
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	22	804	222	582	103	119	787	480	324	172	308
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	23	958	319	639	145	174	912	533	425	211	322
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	24	301	70	231	26	44	290	104	197	43	61
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	25	564	251	313	142	109	555	183	381	93	90
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	26	904	294	610	104	190	892	490	414	229	261
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	27	1142	317	825	150	167	304	212	930	52	160
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	28	819	193	626	83	110	809	465	354	171	294
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	29	631	141	611	61	80	752	425	327	185	240
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	30	590	196	422	84	112	618	251	367	96	155
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	31	494	179	417	76	103	596	354	242	133	221
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	32	217	90	413	42	48	503	366	137	118	248
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	33	805	190	615	63	127	215	148	657	76	72
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	34	791	240	551	96	144	771	402	389	129	273
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	35	689	201	562	67	134	763	409	354	141	268
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	36	973	292	681	124	168	653	340	633	133	207
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	37	863	229	739	94	135	968	539	429	173	366
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	38	1147	346	801	160	186	822	436	711	151	285
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	39	1079	332	759	132	200	1091	597	494	234	363
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	40	1150	373	777	155	218	1049	578	572	217	361
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	41	978	295	835	138	157	1130	648	482	215	433
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	42	909	291	673	118	173	964	491	473	167	324
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	43	978	291	687	137	154	896	461	517	156	305
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	44	1057	311	746	151	160	945	492	565	206	286
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	45	901	269	745	125	144	1014	556	458	233	323
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	46	840	255	652	102	153	907	524	383	194	330
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	47	801	206	595	102	104	799	432	369	186	246
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	48	989	295	694	111	184	753	409	580	146	263
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	49	940	261	682	120	141	943	538	405	219	319
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	50	996	239	757	95	144	899	451	545	184	267
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	51	1108	356	752	196	160	944	470	638	211	259
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	52	664	173	948	89	84	1121	662	459	282	380
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	53	1021	283	738	117	166	648	333	688	158	175
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	54	1039	352	687	174	178	971	492	547	200	292
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	55	1005	308	717	137	171	1025	589	436	273	316
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	56	784	224	754	112	112	978	591	387	224	367
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	57	745	227	537	104	123	764	439	325	173	266
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	58	620	193	542	65	128	735	391	344	161	230
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	59	723	266	457	92	174	613	329	394	131	198
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	60	756	171	585	65	106	711	427	329	186	241
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	61	777	231	546	100	131	744	359	418	131	228
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	62	763	181	582	87	94	748	410	353	167	243
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	63	751	174	577	51	123	725	331	420	131	200
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	64	953	294	659	97	197	731	358	595	121	237
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	65	984	249	735	71	178	918	518	466	158	360
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	66	668	178	790	64	114	968	481	487	152	329
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	67	942	278	664	79	199	638	295	647	93	202
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	68	1062	324	738	96	228	908	410	652	145	265
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	69	925	278	725	87	191	1003	472	531	141	331
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	70	1046	285	761	69	216	860	421	625	162	259
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	71	882	236	765	78	158	1001	500	501	142	358
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	72	798	222	603	71	151	825	403	422	106	297
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	73	817	200	617	55	145	766	387	430	129	258
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	74	988	267	721	79	188	806	369	619	120	249
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	75	1063	330	733	116	214	955	471	592	123	348
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	76	886	261	742	81	180	1003	484	519	140	344
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	77	1058	282	776	79	203	829	406	652	106	300
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	78	943	308	706	85	223	1014	491	523	142	349
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	79	692	190	717	52	138	907	420	487	96	324
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	1	916	143	867	73	70	1010	473	537	167	306
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	2	697	172	525	112	60	668	374	323	194	180
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	3	1045	216	829	128	88	1024	417	628	216	201
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	4	817	230	587	135	95	793	428	389	248	180
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	5	681	183	498	114	69	672	312	369	173	139
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	6	1002	237	765	113	124	992	467	535	223	244
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	7	834	193	641	106	87	819	371	463	164	207
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	8	942	224	718	104	120	922	425	517	212	213
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	9	759	171	598	81	90	769	312	457	139	173
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516643	Banská Štiavnica	10	620	131	500	58	73	631	294	337	136	158
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516651	Banskı Studenec	1	359	85	291	39	46	376	163	213	90	73
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514501	Barca	1	313	28	288	27	1	316	47	269	15	32
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516660	Bartošova Lehôtka	1	328	123	205	38	85	326	182	146	83	99
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514519	Bátka	1	733	104	629	51	53	722	237	496	43	194
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515876	Bátorová	1	305	24	281	18	6	302	118	187	51	67
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514535	Belín	1	140	51	91	34	17	142	65	77	41	24
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511234	Belina	1	501	54	447	43	11	499	146	355	3	143
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516678	Beluj	1	106	22	90	12	10	112	53	59	28	25
Banskobystrickı kraj	602	Brezno	603	Brezno	508462	Beòuš	1	982	267	728	83	184	995	471	524	204	267
Banskobystrickı kraj	603	Luèenec	606	Luèenec	557315	Biskupice	1	913	113	800	66	47	900	316	597	51	265
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514543	Blhovce	1	619	79	541	54	25	620	194	426	20	174
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511251	Bo¾kovce	1	224	37	187	15	22	223	115	109	40	75
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511251	Bo¾kovce	2	311	73	238	39	34	309	172	139	119	53
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514551	Bottovo	1	168	55	113	26	29	168	102	66	75	27
Banskobystrickı kraj	602	Brezno	603	Brezno	508489	Braväcovo	1	570	160	417	61	99	577	261	316	132	129
Banskobystrickı kraj	607	iar nad Hronom	612	arnovica	581607	Brehy	1	893	174	719	83	91	886	436	457	238	198
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518191	Breziny	1	287	110	178	70	40	288	154	134	111	43
Banskobystrickı kraj	603	Luèenec	607	Poltár	511269	Breznièka	1	638	147	491	71	76	634	292	346	190	102
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	1	906	234	672	72	162	878	414	492	177	237
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	2	1060	142	918	43	99	1027	246	814	126	120
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	3	877	265	612	81	184	838	478	399	216	262
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	4	955	282	673	68	214	946	495	460	173	322
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	5	849	233	616	109	124	826	441	408	232	209
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	6	638	190	448	47	143	620	312	326	144	168
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	7	904	259	652	89	170	911	490	421	235	255
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	8	858	251	607	72	179	831	450	408	215	235
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	9	927	279	648	98	181	887	427	500	222	205
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	10	732	269	463	110	159	710	423	309	195	228
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	11	605	176	429	67	109	587	318	287	160	158
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	12	725	206	519	44	162	706	351	374	158	193
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	13	743	235	508	89	146	737	368	375	171	197
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	14	854	209	645	46	163	848	352	502	144	208
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	15	1033	310	723	52	258	1022	500	533	175	325
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	16	1041	349	692	55	294	1018	459	582	126	333
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	17	1014	323	691	49	274	994	476	538	133	343
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	18	1008	260	748	41	219	970	379	629	137	242
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	19	640	123	517	24	99	622	275	365	111	164
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	20	846	145	701	30	115	842	199	647	87	112
Banskobystrickı kraj	602	Brezno	603	Brezno	508497	Brezno	21	221	60	161	9	51	219	103	118	33	70
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515884	Brusník	1	88	20	80	12	8	100	57	43	40	17
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508675	Brusno	1	816	184	694	52	132	878	516	362	260	256
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508675	Brusno	2	949	212	763	79	133	975	485	490	253	232
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518204	Budèa	1	1049	288	761	149	139	1028	508	541	219	289
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514586	Budikovany	1	41	8	42	8	0	50	34	16	28	6
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511277	Budiná	1	215	132	93	77	55	225	128	97	96	32
Banskobystrickı kraj	603	Luèenec	606	Luèenec	558273	Bulhary	1	227	83	144	78	5	225	108	119	5	103
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515892	Bušince	1	1157	145	1012	59	86	1111	385	772	153	232
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511293	Buzitka	1	433	137	296	63	74	429	233	200	127	106
Banskobystrickı kraj	602	Brezno	603	Brezno	557251	Bystrá	1	176	68	293	24	44	361	295	66	89	206
Banskobystrickı kraj	607	iar nad Hronom	613	iar nad Hronom	516708	Bzenica	1	481	119	370	43	76	489	256	233	149	107
Banskobystrickı kraj	606	Zvolen	605	Krupina	518212	Bzovík	1	829	213	616	59	154	817	366	463	180	186
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518221	Bzovská Lehôtka	1	109	37	77	31	6	114	61	53	38	23
