namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc2_13_votersreg	vuc2_13_votersvalid	vuc2_13_nevolici	vuc2_13_manka	vuc2_13_kotleba	vuc1_09_votersreg	vuc1_09_votersvalid	vuc1_09_nevolici	vuc1_09_other	vuc1_09_kotleba	vuc1_09_manka	vuc1_09_mikus	vuc1_09_simko
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511226	Ábelová	1	162	50	137	27	23	187	96	91	31	11	24	26	4
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	557757	Abovce	1	487	147	340	120	27	485	140	347	38	3	21	41	37
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518166	Babiná	1	433	126	307	78	48	382	89	344	8	10	58	11	2
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514489	Babinec	1	61	26	35	13	13	59	24	37	4	2	11	2	5
Banskobystrickı kraj	602	Brezno	603	Brezno	508446	Bacúch	1	842	216	626	40	176	836	181	661	27	26	76	43	9
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518174	Bacúrov	1	120	40	80	18	22	120	60	60	5	2	37	15	1
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516601	Baïan	1	166	62	104	30	32	162	51	115	9	6	32	3	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508454	Badín	1	778	217	561	73	144	737	157	621	11	20	53	73	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508454	Badín	2	767	208	559	61	147	720	131	636	12	16	46	57	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508471	Baláe	1	180	54	126	13	41	172	53	127	15	2	17	19	0
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515868	Balog nad Ip¾om	1	697	113	584	107	6	693	239	458	112	6	41	75	5
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516627	Banská Belá	1	980	220	764	104	116	984	164	820	16	12	53	83	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	1	723	170	775	76	94	945	306	639	36	22	74	174	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	2	622	206	608	112	94	814	279	535	31	18	91	137	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	3	883	280	603	148	132	810	283	600	34	19	102	127	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	4	615	187	428	89	98	446	166	449	35	8	52	67	4
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	5	945	259	686	124	135	631	243	702	27	8	66	140	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	6	1714	172	1542	87	85	928	254	1460	37	24	88	103	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	7	603	161	853	78	83	1014	301	713	31	25	114	130	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	8	547	171	933	76	95	1104	164	940	12	9	54	87	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	9	912	297	615	126	171	855	311	601	27	23	100	156	5
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	10	869	241	628	108	133	763	232	637	38	22	83	88	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	11	989	283	840	134	149	1123	355	768	62	41	88	162	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	12	718	203	640	90	113	843	302	541	35	18	113	134	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	13	867	250	688	104	146	938	299	639	38	29	97	133	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	14	1060	388	672	154	234	908	221	839	43	27	78	72	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	15	1011	327	684	111	216	577	167	844	25	12	61	69	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	16	695	242	453	77	165	631	145	550	11	17	62	53	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	17	437	126	311	63	63	318	46	391	5	6	18	16	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	18	809	267	633	150	117	900	250	650	39	29	104	76	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	19	851	260	591	84	176	540	112	739	26	23	19	42	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	20	364	77	287	21	56	223	81	283	8	8	39	24	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	21	923	301	795	168	133	1096	220	876	42	20	71	86	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	22	804	222	582	103	119	533	110	694	7	15	52	36	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	23	958	319	639	145	174	252	108	850	18	7	41	42	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	24	301	70	797	26	44	867	147	720	21	11	57	53	5
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	25	564	251	624	142	109	875	170	705	20	16	64	69	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	26	904	294	610	104	190	868	212	692	22	27	60	102	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	27	1142	317	825	150	167	929	213	929	17	11	73	111	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	28	819	193	626	83	110	518	136	683	11	15	42	67	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	29	631	141	490	61	80	460	167	464	13	11	52	85	6
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	30	590	196	598	84	112	794	198	596	23	28	75	71	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	31	494	179	467	76	103	646	159	487	25	21	48	60	5
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	32	217	90	595	42	48	685	153	532	15	15	39	83	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	33	805	190	812	63	127	1002	354	648	42	35	117	157	3
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	34	791	240	618	96	144	858	204	654	32	18	68	85	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	35	689	201	647	67	134	848	187	661	20	14	64	88	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	36	973	292	681	124	168	866	202	771	16	15	79	89	3
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	37	863	229	634	94	135	784	186	677	20	21	55	89	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	38	1147	346	801	160	186	918	221	926	32	23	85	77	4
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	39	1079	332	747	132	200	1017	250	829	28	25	107	89	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	40	1150	373	777	155	218	847	215	935	28	29	78	80	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	41	978	295	683	138	157	597	155	823	13	6	51	84	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	42	909	291	618	118	173	632	145	764	16	14	47	68	0
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	43	978	291	715	137	154	1006	230	776	29	17	88	90	6
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	44	1057	311	746	151	160	869	183	874	33	20	56	73	1
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	45	901	269	632	125	144	732	164	737	17	13	52	80	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	46	840	255	585	102	153	690	188	652	26	8	62	90	2
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	47	801	206	857	102	104	1063	289	774	37	37	93	120	2
