namekraj	idobvod	nameobvod	idokres	nameokres	idobec	nameobec	idokrsek	vuc1_13_votersreg	vuc1_13_votersvalid	vuc1_13_nevolici	vuc1_13_other	vuc1_13_kotleba	vuc1_13_manka	vuc1_13_kanik	vuc2_09_votersreg	vuc2_09_votersvalid	vuc2_09_nevolici	vuc2_09_manka	vuc2_09_mikus
Banskobystrickı kraj	603	Luèenec	606	Luèenec	511226	Ábelová	1	162	65	122	16	17	30	2	187	96	91	71	25
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	557757	Abovce	1	486	158	328	39	14	90	15	485	88	398	17	71
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518166	Babiná	1	435	108	327	7	11	78	12	384	74	361	64	10
Banskobystrickı kraj	604	Rimavská Sobota	609	Rimavská Sobota	514489	Babinec	1	60	28	32	2	4	22	0	59	21	39	13	8
Banskobystrickı kraj	602	Brezno	603	Brezno	508446	Bacúch	1	842	159	683	19	53	76	11	835	112	730	74	38
Banskobystrickı kraj	606	Zvolen	611	Zvolen	518174	Bacúrov	1	120	45	75	3	12	23	7	120	58	62	35	23
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516601	Baïan	1	165	66	99	16	14	33	3	162	56	109	53	3
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508454	Badín	1	780	221	559	26	57	89	49	739	127	653	44	83
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508454	Badín	2	771	189	582	29	54	74	32	726	132	639	46	86
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508471	Baláe	1	180	56	124	12	14	21	9	173	31	149	14	17
Banskobystrickı kraj	605	Ve¾kı Krtíš	610	Ve¾kı Krtíš	515868	Balog nad Ip¾om	1	697	179	518	11	1	115	52	694	86	611	38	48
Banskobystrickı kraj	607	iar nad Hronom	602	Banská Štiavnica	516627	Banská Belá	1	983	176	808	50	31	72	23	984	123	861	54	69
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	1	726	179	767	47	17	54	61	946	271	675	75	196
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	2	622	191	621	31	25	84	51	812	259	553	100	159
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	3	882	301	581	28	59	156	58	813	257	625	111	146
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	4	615	198	417	34	30	75	59	444	126	489	58	68
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	5	943	221	722	26	41	101	53	631	231	712	72	159
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	6	1706	161	1545	20	17	71	53	930	252	1454	119	133
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	7	602	154	861	17	38	69	30	1 015	261	754	119	142
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	8	546	164	941	17	34	65	48	1 105	149	956	48	101
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	9	915	290	625	33	70	145	42	856	299	616	100	199
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	10	869	225	644	38	58	85	44	762	209	660	101	108
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	11	988	288	836	51	52	86	99	1 124	296	828	97	199
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	12	718	210	636	26	50	86	48	846	282	564	131	151
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	13	868	237	701	46	63	76	52	938	291	647	122	169
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	14	1060	292	768	38	81	109	64	907	188	872	79	109
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	15	1004	261	743	46	79	91	45	576	145	859	67	78
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	16	695	215	480	28	77	57	53	629	135	560	67	68
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	17	438	124	314	20	22	62	20	318	32	406	16	16
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	18	807	242	656	32	42	122	46	898	212	686	113	99
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	19	849	201	648	22	64	84	31	539	79	770	32	47
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	20	363	40	323	8	12	9	11	223	81	282	52	29
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	21	922	313	783	46	57	156	54	1 096	177	919	72	105
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	22	806	230	576	37	45	84	64	538	98	708	51	47
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	23	958	290	668	38	81	120	51	254	88	870	27	61
Banskobystrickı kraj	601	Banská Bystrica	601	Banská Bystrica	508438	Banská Bystrica	24	303	43	820	8	9	18	8	863	113	750	45	68
